,logFC,logCPM,PValue,FDR
LINC01788,-4.92247660287845,2.34115095543769,4.50808985104187e-09,2.2723778242485e-07
AC079148.1,-2.29008838428229,4.5435696293682,4.91679533740216e-09,2.46197944013892e-07
AC112715.1,-3.62315625717192,3.09403992523155,5.22794086616038e-09,2.60055663743675e-07
PCOLCE-AS1,-2.75934597000582,4.50868557939899,5.30367430831543e-09,2.62098571537078e-07
AP000911.1,-3.18118685030223,2.72488443326504,5.87272898017673e-09,2.88335739085171e-07
AL158163.2,-2.37513776349334,4.10629117549749,6.05210811044071e-09,2.95225738213176e-07
AC239809.3,-3.30668606464724,3.90609013685312,6.56062095386479e-09,3.16592934946608e-07
AL158055.1,-4.22249332427491,2.44551238895206,6.57387789797876e-09,3.16592934946608e-07
LINC01990,-3.06882477321821,3.31032098399283,6.63990770164383e-09,3.1774900083626e-07
AC025280.1,-4.07992405524849,2.3441603778002,6.752282986137e-09,3.2109441294454e-07
AL133346.1,-3.78251615357395,3.2966578128449,7.37799094160293e-09,3.48656184434124e-07
AC012409.3,-3.73907540568518,3.72564016265426,7.84023526311926e-09,3.68198874685992e-07
AC009812.1,-2.80142710068016,6.17620133827303,9.19910139660796e-09,4.29348183084894e-07
AP001922.6,-2.76860601300838,3.54990641306204,9.80035477399637e-09,4.52251061811892e-07
AL158847.1,-4.05014452586285,2.75129332544087,9.80943977478512e-09,4.52251061811892e-07
C1orf229,-3.26247353311221,4.24899711313776,1.04310279414031e-08,4.77993953120901e-07
AC005618.1,-3.01045766587688,5.06120123427795,1.08535376612757e-08,4.94359025644009e-07
LRRC8C-DT,-2.17044644476286,5.74695003887547,1.24231263498845e-08,5.62462624739379e-07
LINC01799,-4.78568936238083,2.51325559421709,1.4536783908489e-08,6.54241804357649e-07
DNM3OS,-3.05814712173955,8.02673603166746,1.46418572710529e-08,6.55071496014384e-07
AC000403.1,-2.67545492504928,5.79645238813384,1.51497687567055e-08,6.73808244526178e-07
AC040168.1,-4.02559532463475,3.12888430231009,1.95575900283543e-08,8.64765720493489e-07
CPEB1-AS1,-3.35685798127339,3.17053835650832,2.24614837331354e-08,9.8739115410603e-07
AC093424.1,-3.16390941250289,3.05617072326747,2.88094687411529e-08,1.25912365983732e-06
LINC00028,-3.53915705365779,2.45911008811577,3.90406425446757e-08,1.69647297862237e-06
AC019193.2,-2.83077832373125,3.35957750935818,4.03041399023459e-08,1.74136915315221e-06
AC135803.1,-2.89368015299963,5.1443947847308,4.17651633364441e-08,1.79424090901622e-06
AL353746.1,-4.91338773947661,4.68672055597135,4.3864447153873e-08,1.87378014084991e-06
AL731557.1,-3.57461926633688,2.55500028205485,4.80977190411085e-08,2.04307221162821e-06
AC090825.1,-2.88342869549342,4.79189075209898,5.08114494474365e-08,2.14628697917356e-06
LINC00663,-2.01444369404473,7.14505766024164,5.53986145135477e-08,2.32704957964964e-06
LRRK2-DT,-3.31472742306855,4.89632604646639,6.07468672989526e-08,2.53760808644962e-06
AC080038.2,-2.86419054274279,6.05182983762007,6.35966354064562e-08,2.64205582586932e-06
ACVR2B-AS1,-2.29090080194577,6.77854616796101,6.46447137703463e-08,2.67092175310158e-06
AL392048.1,-3.23656094246869,2.90750003220393,7.57778634989808e-08,3.1103194425381e-06
AC092718.4,3.37109972244624,10.4544982026763,7.61022479658179e-08,3.1103194425381e-06
AC027307.3,-2.47102644319368,5.04043563317871,8.03488829503436e-08,3.26622529025563e-06
TRAF3IP2-AS1,-1.71246845543639,7.6039298846093,9.02053476913084e-08,3.64728681226729e-06
AC068888.1,-1.79129986840794,8.95493580963548,9.07669089918748e-08,3.65047127067854e-06
AC136475.2,-2.29412032561373,5.84833230149613,9.79297217008822e-08,3.91770701471095e-06
AC011481.2,-2.18386428043184,4.20233806007164,1.30952974903365e-07,5.21123917497022e-06
AC139768.1,-1.91279654204,6.63032212015841,1.4010596809747e-07,5.54628913499986e-06
AC024270.4,-2.65671218998826,3.16445033311639,1.44999950021052e-07,5.71012824015194e-06
AC068473.5,-1.72603444394469,8.46872638544867,1.48200162473574e-07,5.78953612694459e-06
AC131097.3,-3.53568512597623,3.36406134423915,1.48974056854045e-07,5.78953612694459e-06
AL355297.3,-2.1406972315741,4.55079394479853,1.49313522649675e-07,5.78953612694459e-06
AC027288.3,-2.98124425617181,5.50190898169535,1.50193213110138e-07,5.79393308329466e-06
AL139351.1,-3.7947162060714,4.25087560830069,1.51447457671612e-07,5.81266105307135e-06
AC007671.1,-3.15601392632065,3.00598360591053,1.57956539915702e-07,6.00491588154398e-06
AC025280.2,-3.56696960882882,3.14640031074852,1.58045002040372e-07,6.00491588154398e-06
AC083798.2,-1.64137777738879,6.87028891602053,1.60497984341907e-07,6.06762629804581e-06
IGFBP7-AS1,-2.94939792133276,3.4671070330115,1.76761154334419e-07,6.64920939264947e-06
AC010226.1,-2.01838299474701,5.69599372344528,1.86535642391489e-07,6.98215837684183e-06
CDKN2B-AS1,4.6370811779274,8.88912217379394,1.97488032413778e-07,7.35569957182548e-06
AC008393.1,-1.68380721019054,6.92318623960611,2.16555979697097e-07,8.02637138475369e-06
AL158211.1,-2.80290931503548,4.17052117334122,2.27347484679787e-07,8.38524064226278e-06
AL035530.2,-1.87462124780663,5.74148937674824,2.39151851331152e-07,8.77780168890698e-06
AC129492.4,-2.60479095040598,2.97421109118389,2.52519028138903e-07,9.22365396984658e-06
TFAP2A-AS1,4.10633496857813,7.23923277758626,2.76740103694254e-07,1.0052852521985e-05
AL583856.2,-2.29059540081029,4.0575885876113,2.77879404456402e-07,1.0052852521985e-05
ZIM2-AS1,-3.78018677617859,3.20911909348382,3.15827758746673e-07,1.13713032565885e-05
LINC02731,-3.01136428954523,4.2786738657035,3.21137775676511e-07,1.14911232660209e-05
WDFY3-AS2,-2.17462627024799,7.24669522468713,3.22195229783949e-07,1.14911232660209e-05
BNC2-AS1,-3.37199267581333,4.14618199836654,3.4618989563984e-07,1.22889286428771e-05
AC096921.2,-2.41074022345694,5.6697998099467,3.7869221689238e-07,1.33798684669312e-05
